profile_id,source_id,evidence_download_id,metadata_file,profile_metric,profile_value,profile_unit,import_relevance,caution,review_status,updated_at
metadata-profile-000011,src-obimd,dl-obimd-subchar-main-mapping,Sub-character to Main-character Mapping.xlsx,row_count,2748,rows,Supports sub-character to main-character hierarchy staging,Hierarchy is dataset-specific and requires cross-source review,reviewed_metadata_only,2026-06-04
metadata-profile-000012,src-evobc,dl-evobc-key-value-json,Key&Value.json,category_mapping_count,13714,categories,Confirms EVOBC category key/value mapping scale,Useful for evolution experiments but not primary oracle-character authority,reviewed_metadata_only,2026-06-04
metadata-profile-000013,src-evobc,dl-evobc-list-json,List_of_EVOBC.json,class_count,13714,classes,Confirms EVOBC list class count from downloaded metadata,Do not claim local corpus imported all classes until derived records exist,reviewed_metadata_only,2026-06-04
metadata-profile-000014,src-evobc,dl-evobc-list-json,List_of_EVOBC.json,image_reference_count,229170,image_references,Confirms EVOBC image-reference count without committing raw images,Image files remain external; local repo has only metadata evidence,reviewed_metadata_only,2026-06-04
metadata-profile-000015,src-evobc,dl-evobc-list-json,List_of_EVOBC.json,classes_without_images,2,classes,Flags two classes without image references for later data-quality review,Do not infer missing images without source review,reviewed_metadata_only,2026-06-04
metadata-profile-000016,src-evobc,dl-evobc-list-json,List_of_EVOBC.json,era_image_counts,"0:75681;1:47314;2:13434;3:9131;4:80042;5:3568",image_references,Provides compact distribution by EVOBC era code for evolution-chain planning,Era code labels must be mapped through EVOBC documentation before public display,reviewed_metadata_only,2026-06-04
metadata-profile-000017,src-evobc,dl-evobc-list-json,List_of_EVOBC.json,source_image_counts,"0:1633;1:106010;2:17600;3:21681;4:9131;5:32794;6:30645;7:9676",image_references,Provides compact distribution by EVOBC source code for source-chain review,Source code labels must be mapped and reviewed before import,reviewed_metadata_only,2026-06-04
metadata-profile-000018,src-evobc,dl-evobc-statistics-xlsx,Statistics.xlsx,worksheet_shape,14x4,cells,Confirms statistics workbook is small and suitable for manual review,Workbook values should be cited only after explicit extraction,reviewed_metadata_only,2026-06-04
metadata-profile-000019,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_crosswalk_count,1588,label_candidates,Confirms every staged HUST validation class can be mapped to an OCR label candidate after zero-padding source category IDs,HUST OCR labels remain dataset metadata and are not accepted oracle-character readings,reviewed_metadata_only,2026-06-04
metadata-profile-000020,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_single_component_count,1415,label_candidates,Counts validation label candidates backed by one source category ID,Single-component dataset labels still require cross-source review before formal character import,reviewed_metadata_only,2026-06-04
metadata-profile-000021,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_label_multi_component_count,173,label_candidates,Counts validation label candidates backed by two or three source category IDs,Multi-component dataset labels need extra review before any graph or character-family inference,reviewed_metadata_only,2026-06-04
metadata-profile-000022,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_source_category_count,1781,source_categories,Confirms the 1588 HUST validation classes expand to a contiguous 0001-1781 source-category range,Source categories are dataset references and not formal project character IDs,reviewed_metadata_only,2026-06-04
metadata-profile-000023,src-hust-obc,dl-hust-obc-ocr-id-to-chinese,Validation_label.json;ID_to_Chinese.json,validation_source_category_multi_member_count,366,source_categories,Counts source-category rows that belong to multi-category validation classes,Multi-category membership needs cross-source review before any component or character-family inference,reviewed_metadata_only,2026-06-04
metadata-profile-000024,src-nlc-oracle-world,dl-nlc-oracle-world-note,P020200710368724856153.pdf,oracle_world_object_record_count,2964,object_records,Confirms NLC Oracle World database scope for oracle-bone object records from official NLC note,Database scale note is not a full item-level export,reviewed_metadata_only,2026-06-05
metadata-profile-000025,src-nlc-oracle-world,dl-nlc-oracle-world-note,P020200710368724856153.pdf,oracle_world_object_image_count,5932,images,Confirms NLC Oracle World object-image scale from official NLC note,Do not download or redistribute images before rights and endpoint review,reviewed_metadata_only,2026-06-05
metadata-profile-000026,src-nlc-oracle-world,dl-nlc-oracle-world-note,P020200710368724856153.pdf,oracle_world_rubbing_record_count,2975,rubbing_records,Confirms NLC Oracle World rubbing-record scale from official NLC note,Rubbing records still require stable query endpoint before import,reviewed_metadata_only,2026-06-05
metadata-profile-000027,src-nlc-oracle-world,dl-nlc-oracle-world-note,P020200710368724856153.pdf,oracle_world_rubbing_image_count,3177,rubbing_images,Confirms NLC Oracle World rubbing-image scale from official NLC note,Do not download or redistribute images before rights and endpoint review,reviewed_metadata_only,2026-06-05
metadata-profile-000028,src-nlc-oracle-world,dl-nlc-oracle-database-design,P020101227555561563898.pdf,nlc_oracle_bone_holding_count,35651,oracle_bones,Confirms National Library of China collection-scale evidence from official NLC database-design article,Collection-scale statement is not an item-level record import,reviewed_metadata_only,2026-06-05
metadata-profile-000029,src-nlc-oracle-world,dl-nlc-oracle-database-design,P020101227555561563898.pdf,nlc_heji_cataloged_count,8000+,heji_refs,Records official NLC statement that more than 8000 holdings were cataloged in Jiaguwen Heji,Use as collection-level import target only until row-level records are available,reviewed_metadata_only,2026-06-05
metadata-profile-000030,src-nlc-oracle-world,dl-nlc-oracle-database-design,P020101227555561563898.pdf,nlc_yinqi_cuibian_cataloged_count,1595,yinqi_cuibian_refs,Records official NLC statement that 1595 holdings were cataloged in Yinqi Cuibian,Use as collection-level cross-reference evidence only,reviewed_metadata_only,2026-06-05
metadata-profile-000031,src-smithsonian-nmaa-oracle-bone,dl-smithsonian-nmaa-fsc-o-26-archive,FSC-O-26,accession_number,FSC-O-26,museum_accession,Confirms a script-downloadable Smithsonian/NMAA public-domain oracle-bone object page,Accession number is object-level metadata and not an oracle-character ID,reviewed_metadata_only,2026-06-05
metadata-profile-000032,src-smithsonian-nmaa-oracle-bone,dl-smithsonian-nmaa-fsc-o-26-archive,FSC-O-26,rights_status,CC0,rights_label,Confirms FSC-O-26 is suitable as a public-domain image/IIIF workflow sample,Still retain object URL and source timestamp because museum records can change,reviewed_metadata_only,2026-06-05
metadata-profile-000033,src-smithsonian-nmaa-oracle-bone,dl-smithsonian-nmaa-fsc-o-26-archive,FSC-O-26,iiif_source_image_id,FS-FSC-O-26_1,iiif_asset_id,Records Smithsonian/NMAA IIIF source image identifier for future asset metadata tests,Raw image is not committed in this stage,reviewed_metadata_only,2026-06-05
metadata-profile-000034,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,49-14-7A,object_number,49-14-7A,museum_object_number,Confirms official Penn Museum object number for oracle bone staging,Object number is not a project character or inscription ID,reviewed_metadata_only,2026-06-05
metadata-profile-000035,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,49-14-7A,provenience,Anyang,place_name,Records official Penn Museum provenience field for the object,Provenience field needs cross-source context before excavation-level claims,reviewed_metadata_only,2026-06-05
metadata-profile-000036,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,49-14-7A,period,Shang Dynasty,period_label,Records official Penn Museum period label for object-level context,Period label is museum metadata and not an inscription-specific dating proof,reviewed_metadata_only,2026-06-05
metadata-profile-000037,src-penn-museum-oracle-bone,dl-penn-museum-49-14-7a,49-14-7A,current_location,Asia Galleries - On Display,display_location,Records official Penn Museum display-location metadata,Display location can change and should retain download timestamp,reviewed_metadata_only,2026-06-05
